source_row,date,time,x,y,z,energy_j,local_x,local_y
237,43955.0,0.2506712962962963,384183.0,4352928.0,687.0,272.6887647878968,5183.0,7228.0
238,43955.0,0.284849537037037,384021.0,4352845.0,687.0,4.872690198034325,5021.0,7145.0
239,43955.0,0.28497685185185184,384115.0,4352829.0,690.0,1.6445315525128352,5115.0,7129.0
240,43955.0,0.40275462962962966,384181.0,4352908.0,683.0,6.028513063078197,5181.0,7208.0
241,43955.0,0.43258101851851855,384032.0,4353096.0,689.0,37.63607701410432,5032.0,7396.0
242,43955.0,0.4415277777777778,384160.0,4352899.0,685.0,9.887114026000273,5160.0,7199.0
243,43955.0,0.4683449074074074,384152.0,4352935.0,689.0,13.62548416305721,5152.0,7235.0
244,43955.0,0.4704513888888889,384325.0,4352712.0,687.0,1.8173678686345653,5325.0,7012.0
245,43955.0,0.47555555555555556,384253.0,4352908.0,689.0,3.362354878011735,5253.0,7208.0
246,43955.0,0.4767824074074074,384189.0,4352948.0,689.0,6.277370363784394,5189.0,7248.0
247,43955.0,0.48636574074074074,384112.0,4352825.0,688.0,3.566684140958639,5112.0,7125.0
248,43955.0,0.5052199074074074,384168.0,4352927.0,686.0,2.7526286044831707,5168.0,7227.0
249,43955.0,0.5215046296296296,384155.0,4352831.0,687.0,1.7269843045753275,5155.0,7131.0
250,43955.0,0.5376967592592593,384077.0,4353045.0,662.0,16.784193756260414,5077.0,7345.0
251,43955.0,0.5417361111111111,384102.0,4352870.0,683.0,2.08802388389237,5102.0,7170.0
252,43955.0,0.5707175925925926,383983.0,4352898.0,686.0,10.3343927972262,4983.0,7198.0
253,43955.0,0.5957986111111111,384191.0,4352968.0,685.0,4.845746215862141,5191.0,7268.0
254,43955.0,0.6209259259259259,384065.0,4352805.0,694.0,1.485689312668275,5065.0,7105.0
255,43955.0,0.6358101851851852,384146.0,4352834.0,690.0,1.0922956143743499,5146.0,7134.0
256,43955.0,0.6591435185185185,383951.0,4352881.0,657.0,3.2438807604978392,4951.0,7181.0
257,43955.0,0.6633217592592593,384201.0,4352887.0,683.0,1.5771875814645626,5201.0,7187.0
258,43955.0,0.7001736111111111,384074.0,4352943.0,684.0,2.5804629788716853,5074.0,7243.0
259,43955.0,0.705300925925926,384170.0,4352923.0,686.0,2.2997178812100487,5170.0,7223.0
260,43955.0,0.7144212962962962,384073.0,4352790.0,689.0,2.158937303555571,5073.0,7090.0
261,43955.0,0.7247453703703703,384104.0,4352913.0,693.0,1.889911652788801,5104.0,7213.0
262,43955.0,0.8013078703703703,384213.0,4352913.0,685.0,7.6570892134017985,5213.0,7213.0
263,43955.0,0.9073842592592593,384157.0,4352922.0,689.0,10.17489349693804,5157.0,7222.0
264,43956.0,0.35107638888888887,384411.0,4353168.0,690.0,36.530794989927806,5411.0,7468.0
265,43956.0,0.385625,384156.0,4352871.0,690.0,1.1517365214799722,5156.0,7171.0
266,43956.0,0.46131944444444445,384139.0,4352899.0,681.0,3.508207580160091,5139.0,7199.0
267,43956.0,0.44484953703703706,384201.0,4353264.0,688.0,54.37481940533489,5201.0,7564.0
268,43956.0,0.46195601851851853,384156.0,4352924.0,688.0,2.1734266560540627,5156.0,7224.0
269,43956.0,0.4856712962962963,384111.0,4352921.0,690.0,4.650150132142586,5111.0,7221.0
270,43956.0,0.5614236111111112,384180.0,4352892.0,687.0,1.5584886634280142,5180.0,7192.0
271,43956.0,0.7948148148148149,384043.0,4352832.0,683.0,2.410835456235882,5043.0,7132.0
272,43956.0,0.7956481481481481,383978.0,4352858.0,689.0,16.894118393510322,4978.0,7158.0
273,43956.0,0.8069791666666667,384109.0,4352838.0,686.0,2.3272245777030824,5109.0,7138.0
274,43957.0,0.3881134259259259,384202.0,4352959.0,690.0,1.7483435885798972,5202.0,7259.0
275,43957.0,0.40521990740740743,384162.0,4352934.0,688.0,1.963553128672147,5162.0,7234.0
276,43957.0,0.42366898148148147,384074.0,4352809.0,685.0,2.1813075704996208,5074.0,7109.0
277,43957.0,0.4534837962962963,384248.0,4352933.0,683.0,7.125110034052705,5248.0,7233.0
278,43957.0,0.47256944444444443,384101.0,4352812.0,693.0,2.9256257019877516,5101.0,7112.0
279,43957.0,0.4867708333333333,384047.0,4353078.0,688.0,97.18537786676343,5047.0,7378.0
280,43957.0,0.4941203703703704,384049.0,4352912.0,686.0,3.894798808544993,5049.0,7212.0
281,43957.0,0.5008564814814814,384160.0,4352934.0,689.0,1.4521777830368792,5160.0,7234.0
282,43957.0,0.5277314814814815,384070.0,4352813.0,681.0,1.775254540005647,5070.0,7113.0
